"","i","test","test.number","pval","statistic"
"1",0,"Chi-Square Test for Benford Distribution","t1",0,432.647597030281
"2",0,"Euclidean Distance Test for Benford Distribution","t2",0,8.5649611398889
"3",0,"Joint Digits Test","t3",0,432.647597030281
"4",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.907912732767359
"5",0,"K-S Test for Benford Distribution","t5",0,5.83700043360188
"6",0,"Chebyshev Distance Test for Benford Distribution","t6",0,5.83700043360188
"7",0,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.42944176685257
"8",0,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000215389130895138,0.0163789413934203
"9",0,"Mean Absolute Deviation","t9",NA,0.0225229941093316
"10",0,"Distortion Factor","t10",NA,-79.0600590529183
"11",0,"Mantissa Arc Test","t11",1.48254174313571e-59,0.0270376771412968
"12",0,"Chi-Square Test for Benford Distribution","t1",0,432.647597030281
"13",0,"Euclidean Distance Test for Benford Distribution","t2",0,8.5649611398889
"14",0,"Joint Digits Test","t3",0,432.647597030281
"15",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.907912732767359
"16",0,"K-S Test for Benford Distribution","t5",0,5.83700043360188
"17",0,"Chebyshev Distance Test for Benford Distribution","t6",0,5.83700043360188
"18",0,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.42944176685257
"19",0,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000215389130895138,0.0163789413934203
"20",0,"Mean Absolute Deviation","t9",NA,0.0225229941093316
"21",0,"Distortion Factor","t10",NA,-79.0600590529183
"22",0,"Mantissa Arc Test","t11",1.48254174313571e-59,0.0270376771412968
"23",0,"Chi-Square Test for Benford Distribution","t1",0,432.647597030281
"24",0,"Euclidean Distance Test for Benford Distribution","t2",0,8.5649611398889
"25",0,"Joint Digits Test","t3",0,432.647597030281
"26",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.907912732767359
"27",0,"K-S Test for Benford Distribution","t5",0,5.83700043360188
"28",0,"Chebyshev Distance Test for Benford Distribution","t6",0,5.83700043360188
"29",0,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.42944176685257
"30",0,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000215389130895138,0.0163789413934203
"31",0,"Mean Absolute Deviation","t9",NA,0.0225229941093316
"32",0,"Distortion Factor","t10",NA,-79.0600590529183
"33",0,"Mantissa Arc Test","t11",1.48254174313571e-59,0.0270376771412968
"34",0,"Chi-Square Test for Benford Distribution","t1",0,432.647597030281
"35",0,"Euclidean Distance Test for Benford Distribution","t2",0,8.5649611398889
"36",0,"Joint Digits Test","t3",0,432.647597030281
"37",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.907912732767359
"38",0,"K-S Test for Benford Distribution","t5",0,5.83700043360188
"39",0,"Chebyshev Distance Test for Benford Distribution","t6",0,5.83700043360188
"40",0,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.42944176685257
"41",0,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000215389130895138,0.0163789413934203
"42",0,"Mean Absolute Deviation","t9",NA,0.0225229941093316
"43",0,"Distortion Factor","t10",NA,-79.0600590529183
"44",0,"Mantissa Arc Test","t11",1.48254174313571e-59,0.0270376771412968
"45",0,"Chi-Square Test for Benford Distribution","t1",0,432.647597030281
"46",0,"Euclidean Distance Test for Benford Distribution","t2",0,8.5649611398889
"47",0,"Joint Digits Test","t3",0,432.647597030281
"48",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.907912732767359
"49",0,"K-S Test for Benford Distribution","t5",0,5.83700043360188
"50",0,"Chebyshev Distance Test for Benford Distribution","t6",0,5.83700043360188
"51",0,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,8.42944176685257
"52",0,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000215389130895138,0.0163789413934203
"53",0,"Mean Absolute Deviation","t9",NA,0.0225229941093316
"54",0,"Distortion Factor","t10",NA,-79.0600590529183
"55",0,"Mantissa Arc Test","t11",1.48254174313571e-59,0.0270376771412968
"56",0,"Chi-Square Test for Benford Distribution","t1",0,432.647597030281
"57",0,"Euclidean Distance Test for Benford Distribution","t2",0,8.5649611398889
"58",0,"Joint Digits Test","t3",0,432.647597030281
"59",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.907912732767359
"60",0,"K-S Test for Benford Distribution","t5",0,5.83700043360188
