"model","parameter.set.j.","measure","tr.stats.chisq.statistic","tr.stats.chisq.p.value","tr.MAD","tr.stats.mantissa.arc.test.statistic","tr.stats.mantissa.arc.test.p.value","tr.distortion.factor"
"random.graph",1e-04,"degree",4332.10856066808,0,0.0874408333403742,0.211720912907098,0,-59.6047712449892
"random.graph",1e-04,"degree",4350.7064092584,0,0.0879939496076876,0.214036821118929,0,-59.6842928229909
"random.graph",1e-04,"degree",4243.18685670466,0,0.0860823532659777,0.197695270569892,0,-58.9703244417291
"random.graph",1e-04,"degree",4218.93825056138,0,0.0869611192978755,0.204675409055867,0,-59.213470130681
"random.graph",1e-04,"degree",4396.09009861614,0,0.0886029785484304,0.219286734704171,0,-59.8980902097826
"random.graph",1e-04,"degree",4386.32302505032,0,0.0886864157016137,0.218204806074687,0,-59.7081964515599
"random.graph",1e-04,"degree",4317.32412338205,0,0.0874966645268167,0.205653278401334,0,-59.2049619858673
"random.graph",1e-04,"degree",4229.54438556762,0,0.085655663127461,0.190975900051539,0,-58.533355124334
"random.graph",1e-04,"degree",4309.94670250394,0,0.0872810745434638,0.215455402494074,0,-59.7773344087186
"random.graph",1e-04,"degree",4333.31281503568,0,0.0879425147839917,0.212125017962841,0,-59.5365257152993
"random.graph",1e-04,"degree",4307.25085029756,0,0.0876980492424755,0.209036842633248,0,-59.2912463200296
"random.graph",1e-04,"degree",4392.81452192531,0,0.0878470778767202,0.208119495000766,0,-59.3503947190102
"random.graph",1e-04,"degree",4211.68777734133,0,0.0852083892203373,0.193101770760301,0,-58.7028580236163
"random.graph",1e-04,"degree",4313.86066361529,0,0.0877415008598866,0.211782632910581,0,-59.5206609158105
"random.graph",1e-04,"degree",4303.10447540168,0,0.0865702832485487,0.203166202909521,0,-59.2269320093989
"random.graph",1e-04,"degree",4347.6889848273,0,0.0878406162157131,0.210287382748258,0,-59.3887558984219
"random.graph",1e-04,"degree",4234.09680977425,0,0.0860816995694349,0.1984201533762,0,-58.9275372141851
"random.graph",1e-04,"degree",4453.50240423862,0,0.0890449956811327,0.223480034265715,0,-60.116857657409
"random.graph",1e-04,"degree",4332.4806123398,0,0.0884442856221387,0.217732983996319,0,-59.8377841140457
"random.graph",1e-04,"degree",4351.18273906997,0,0.0868176862463321,0.20721171165928,0,-59.3927886271175
"random.graph",1e-04,"degree",4394.94115046581,0,0.0882996670580204,0.213003230680019,0,-59.582971480561
"random.graph",1e-04,"degree",4379.69575796787,0,0.089387062692183,0.22019361768847,0,-59.9042573645858
"random.graph",1e-04,"degree",4408.52843398368,0,0.0881074498673593,0.215914743096194,0,-59.7506744957372
"random.graph",1e-04,"degree",4382.16243647205,0,0.0892002830089264,0.21733535147944,0,-59.7183077073566
"random.graph",1e-04,"degree",4337.39124471673,0,0.0885871478672188,0.215224531859138,0,-59.7719633015896
"random.graph",1e-04,"degree",4253.86347545731,0,0.0866504647414038,0.207074901819002,0,-59.4131283928427
"random.graph",1e-04,"degree",4401.66726336772,0,0.0892742380432193,0.21912270392011,0,-59.7841490465983
"random.graph",1e-04,"degree",4290.14353742576,0,0.086637937239309,0.205417850837004,0,-59.3373249998503
"random.graph",1e-04,"degree",4278.51635133843,0,0.0874236846652172,0.213229077081879,0,-59.6377120234961
"random.graph",1e-04,"degree",4305.56957592846,0,0.0869463474486965,0.203840245179806,0,-59.2255175139414
"random.graph",1e-04,"degree",4380.61599848861,0,0.0880188587086727,0.212899738057132,0,-59.6397261130257
