"model","param","measure","chi","ks","f","chd","ed","js","jj","jd"
"random.graph",0.001,"degree",0,0,0,0,0,0,3,0
"random.graph",0.001,"betweenness",0,0,0,0,0,0,4,0
"random.graph",0.001,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.001,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.002,"degree",0,0,0,0,0,0,0,0
"random.graph",0.002,"betweenness",0,0,0,0,0,0,0,0
"random.graph",0.002,"closeness",0,0,0,0,0,30,0,0
"random.graph",0.002,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.003,"degree",0,0,0,0,0,0,0,0
"random.graph",0.003,"betweenness",0,0,0,0,0,0,3,0
"random.graph",0.003,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.003,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.004,"degree",0,0,0,0,0,0,0,0
"random.graph",0.004,"betweenness",0,0,0,9,1,0,6,10
"random.graph",0.004,"closeness",0,0,0,0,0,3,0,0
"random.graph",0.004,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.005,"degree",0,0,0,0,0,0,0,0
"random.graph",0.005,"betweenness",0,0,0,10,1,0,48,3
"random.graph",0.005,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.005,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.006,"degree",0,0,0,0,0,0,0,0
"random.graph",0.006,"betweenness",0,1,0,1,0,0,14,0
"random.graph",0.006,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.006,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.007,"degree",0,0,0,0,0,0,0,0
"random.graph",0.007,"betweenness",0,0,0,0,0,0,2,0
"random.graph",0.007,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.007,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.008,"degree",0,0,0,0,0,0,0,0
"random.graph",0.008,"betweenness",0,0,0,0,0,0,0,0
"random.graph",0.008,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.008,"clustering",0,0,0,0,0,0,0,0
"random.graph",0.009,"degree",0,0,0,0,0,0,0,0
"random.graph",0.009,"betweenness",0,0,0,0,0,0,0,0
"random.graph",0.009,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.009,"clustering",0,0,0,0,0,0,3,0
"random.graph",0.01,"degree",0,0,0,0,0,0,0,0
"random.graph",0.01,"betweenness",0,0,0,0,0,0,0,0
"random.graph",0.01,"closeness",0,0,0,0,0,0,0,0
"random.graph",0.01,"clustering",0,0,0,0,0,0,3,0
"small.world",0.01,"degree",0,0,0,0,0,0,0,0
"small.world",0.01,"betweenness",0,0,0,0,0,11,0,0
"small.world",0.01,"closeness",0,0,0,0,0,0,0,0
"small.world",0.01,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0144444444444444,"degree",0,0,0,0,0,0,0,0
"small.world",0.0144444444444444,"betweenness",0,0,0,0,0,15,0,0
"small.world",0.0144444444444444,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0144444444444444,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0188888888888889,"degree",0,0,0,0,0,0,0,0
"small.world",0.0188888888888889,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0188888888888889,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0188888888888889,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0233333333333333,"degree",0,0,0,0,0,0,0,0
"small.world",0.0233333333333333,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0233333333333333,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0233333333333333,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0277777777777778,"degree",0,0,0,0,0,0,0,0
"small.world",0.0277777777777778,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0277777777777778,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0277777777777778,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0322222222222222,"degree",0,0,0,0,0,0,0,0
"small.world",0.0322222222222222,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0322222222222222,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0322222222222222,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0366666666666667,"degree",0,0,0,0,0,0,0,0
"small.world",0.0366666666666667,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0366666666666667,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0366666666666667,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0411111111111111,"degree",0,0,0,0,0,0,0,0
"small.world",0.0411111111111111,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0411111111111111,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0411111111111111,"clustering",0,0,0,0,0,0,0,0
"small.world",0.0455555555555556,"degree",0,0,0,0,0,0,0,0
"small.world",0.0455555555555556,"betweenness",0,0,0,0,0,0,0,0
"small.world",0.0455555555555556,"closeness",0,0,0,0,0,0,0,0
"small.world",0.0455555555555556,"clustering",0,0,0,0,0,0,0,0
"small.world",0.05,"degree",0,0,0,0,0,0,0,0
"small.world",0.05,"betweenness",0,0,0,0,0,21,0,0
"small.world",0.05,"closeness",0,0,0,0,0,0,0,0
"small.world",0.05,"clustering",0,0,0,0,0,0,0,0
"preferential.attachment",1,"degree",0,0,0,0,0,0,0,0
"preferential.attachment",1,"betweenness",0,0,0,0,0,0,0,0
"preferential.attachment",1,"closeness",0,0,0,0,0,0,0,0
"preferential.attachment",1,"clustering",0,0,0,0,0,0,0,0
"preferential.attachment",1.22222222222222,"degree",0,0,0,0,0,0,0,0
"preferential.attachment",1.22222222222222,"betweenness",0,0,0,0,0,0,0,0
"preferential.attachment",1.22222222222222,"closeness",0,0,0,0,0,0,0,0
