"","dataset","num.vertices","num.edges","measure","chi.sq","chi.sq.pval","mad","mat","mat.pval","df","pcc"
"9","dblp.csv",317080,1049866,"betweenness",53.0525375760252,1.05350414208356e-08,0.00153935837661081,1.36354671174842e-05,0.18933524869694,-3.79059714559414,0.999683613821903
"10","dblp.csv",317080,1049866,"clustering coefficient",141115.49073277,0,0.0720848670903996,0.271127594192456,0,-80.5042524822892,0.894483355219897
"11","dblp.csv",317080,1049866,"closeness",4568677.72164005,0,0.175893370683193,0.999664039504801,0,-78.2820034195587,1
"111","enron.csv",36692,367662,"degree",22100.2068819552,0,0.0772056722426418,0.0184749463171722,3.9743935227085e-295,-11.1017204292905,0.61020493889818
"12","enron.csv",36692,367662,"betweenness",18.1627343148725,0.0200389912809968,0.00313322306897345,8.22587816661064e-05,0.343735262520039,-6.26863574373133,0.999059911117556
"13","enron.csv",36692,367662,"clustering coefficient",14013.7960100311,0,0.0717817318246616,0.297715231771272,0,-92.7044410578849,0.845743189090832
"14","enron.csv",36692,367662,"closeness",130627.410490282,0,0.137425412277148,0.593761352034162,0,-82.6536857143216,-0.415838839342955
"141","facebook.csv",4039,88234,"degree",29.1182107561571,0.000302301318728806,0.00808380841355485,0.00299447500860361,5.58914318042641e-06,-5.57601605673884,0.993552725224172
"15","facebook.csv",4039,88234,"betweenness",12.3010415290375,0.138269089196488,0.00500451108304496,0.000493982128651474,0.161015937272839,-7.96882559457508,0.998344590239001
"16","facebook.csv",4039,88234,"clustering coefficient",3286.71088783552,0,0.0905206875108459,0.415750474726054,0,-84.2344893982349,-0.355142143334822
"17","facebook.csv",4039,88234,"closeness",16945.2350726488,0,0.157165381422944,0.867776395783479,0,-82.546847862372,-0.368957345734701
"171","gnutella.csv",36682,88328,"degree",25501.8818612953,0,0.0812606709863987,0.259176429387762,0,-53.5565036179965,0.954181566721565
"18","gnutella.csv",36682,88328,"betweenness",1788.85378877541,0,0.0256078924701809,0.0142952349241783,7.86515906040746e-126,-2.70125852481801,0.9169903912941
"19","gnutella.csv",36682,88328,"clustering coefficient",752.008453301329,4.51165397070841e-157,0.0505476433255436,0.060495077025509,1.83679248012959e-81,-90.6754281281067,0.940339381108082
"20","gnutella.csv",36682,88328,"closeness",40997.3656601049,0,0.0885494223742333,0.29831387264146,0,-88.3079460238161,0.704415788114701
"201","physics.csv",12008,237010,"degree",4544.69878334452,0,0.0565856870535584,0.00314825579927256,3.81786338650207e-17,-3.37218652248993,0.729337906289877
"21","physics.csv",12008,237010,"betweenness",8.64388610866946,0.373221692001437,0.00324778420500126,7.76849446907375e-05,0.642033417468021,-3.35887295562882,0.998583704556457
"22","physics.csv",12008,237010,"clustering coefficient",4056.91118434262,0,0.0606772623346101,0.197050880254879,0,-92.3097231513594,0.886106672751497
"23","physics.csv",12008,237010,"closeness",23522.9815551404,0,0.140449603267868,0.934048437982442,0,-96.3967807161948,1
"231","slashdot.csv",82168,948464,"degree",45887.7981520146,0,0.0569108108491258,0.0994958547160204,0,4.53582587138431,0.443292984943862
"24","slashdot.csv",82168,948464,"betweenness",16.8583347292357,0.0316185028530365,0.00162942391680745,3.96090143000443e-05,0.13101317991834,-1.37487251904309,0.99978585647845
"25","slashdot.csv",82168,948464,"clustering coefficient",1940.70037138,0,0.015254904355343,0.0197687828473445,5.84833455727185e-234,-88.9056858634525,0.942827291564356
"26","slashdot.csv",82168,948464,"closeness",60652.7695739585,0,0.0890314173189746,0.521967783656329,0,-94.5138913881918,0.971895325217642
"261","twitter.csv",81306,2420766,"degree",135.951284794345,1.64727468434391e-25,0.00408955977752558,0.000881157737463147,7.68531967682924e-32,-7.00768079534606,0.99931230965305
"27","twitter.csv",81306,2420766,"betweenness",16.1767831126413,0.0399185735478419,0.0011625144057145,1.4442005486433e-05,0.379686761554246,-9.87656160747759,0.999863969293602
"28","twitter.csv",81306,2420766,"clustering coefficient",10329.4302943465,0,0.0341049352094462,0.0595260641007165,0,-89.1718467636025,0.847483111837096
"29","twitter.csv",81306,2420766,"closeness",37878.6528715785,0,0.0700014221858403,0.421665373057959,0,-93.8150910385492,0.985883745509503
"291","wikipedia.csv",7115,103689,"degree",1057.43060943914,5.96817602732676e-223,0.0383906170328968,0.0754367446824985,7.94444819633986e-234,-26.9250413199779,0.971280653714372
"30","wikipedia.csv",7115,103689,"betweenness",5.87172669945449,0.661597861189222,0.00259170015574731,3.96067902585966e-05,0.833507964282465,-10.6565883236307,0.999178931816844
"31","wikipedia.csv",7115,103689,"clustering coefficient",1123.21660589421,3.70752698920405e-237,0.0548116289302218,0.138132849802544,3.45478166211592e-239,-91.6114802582654,0.983193304841686
"32","wikipedia.csv",7115,103689,"closeness",32736.6933370974,0,0.181560418265599,0.994933030850237,0,-93.1697636051153,-1
