"","i","test","test.number","avg.pval","avg.stat","flag"
"1",0,"Chi-Square Test for Benford Distribution","t1",0,4113.29984546792,0
"2",0,"Euclidean Distance Test for Benford Distribution","t2",0,25.2625909453051,0
"3",0,"Joint Digits Test","t3",0,4113.29984546793,0
"4",0,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.10936841477625,0
"5",0,"K-S Test for Benford Distribution","t5",0,21.6909254719662,0
"6",0,"Chebyshev Distance Test for Benford Distribution","t6",0,19.7037995663981,0
"7",0,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,111.902701128131,0
"8",0,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0726460876998576,0
"9",0,"Mantissa Arc Test","t9",0,0.198351208467711,0
"10",0,"Mean Absolute Deviation","t10",NA,0.0631984921567568,0
"11",0,"Distortion Factor","t11",NA,2.96639208552302,1
"12",0.01,"Chi-Square Test for Benford Distribution","t1",0,4010.94831341199,0
"13",0.01,"Euclidean Distance Test for Benford Distribution","t2",0,24.9605990852003,0
"14",0.01,"Joint Digits Test","t3",0,4010.948313412,0
"15",0.01,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.117820899813678,0
"16",0.01,"K-S Test for Benford Distribution","t5",0,21.3351254719662,0
"17",0.01,"Chebyshev Distance Test for Benford Distribution","t6",0,19.5019995663981,0
"18",0.01,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,109.106140146889,0
"19",0.01,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0713550254805591,0
"20",0.01,"Mantissa Arc Test","t9",0,0.193715417887668,0
"21",0.01,"Mean Absolute Deviation","t10",NA,0.0621473810456457,0
"22",0.01,"Distortion Factor","t11",NA,2.91245460128066,1
"23",0.02,"Chi-Square Test for Benford Distribution","t1",0,3952.11062390513,0
"24",0.02,"Euclidean Distance Test for Benford Distribution","t2",0,24.7921001881551,0
"25",0.02,"Joint Digits Test","t3",0,3952.11062390514,0
"26",0.02,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.122183051373022,0
"27",0.02,"K-S Test for Benford Distribution","t5",0,21.2549254719662,0
"28",0.02,"Chebyshev Distance Test for Benford Distribution","t6",0,19.3707995663981,0
"29",0.02,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,107.549597541959,0
"30",0.02,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0715240974346048,0
"31",0.02,"Mantissa Arc Test","t9",0,0.190559336083381,0
"32",0.02,"Mean Absolute Deviation","t10",NA,0.0618384921567568,0
"33",0.02,"Distortion Factor","t11",NA,2.99954458633573,1
"34",0.03,"Chi-Square Test for Benford Distribution","t1",0,3857.85871557732,0
"35",0.03,"Euclidean Distance Test for Benford Distribution","t2",0,24.4648012443989,0
"36",0.03,"Joint Digits Test","t3",0,3857.85871557733,0
"37",0.03,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.132494136492544,0
"38",0.03,"K-S Test for Benford Distribution","t5",0,20.9817254719662,0
"39",0.03,"Chebyshev Distance Test for Benford Distribution","t6",0,19.0777995663981,0
"40",0.03,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,104.885494537762,0
"41",0.03,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0700805107291033,0
"42",0.03,"Mantissa Arc Test","t9",0,0.185787128323758,0
"43",0.03,"Mean Absolute Deviation","t10",NA,0.0611016032678679,0
"44",0.03,"Distortion Factor","t11",NA,2.87352685158919,1
"45",0.04,"Chi-Square Test for Benford Distribution","t1",0,3750.49592356638,0
"46",0.04,"Euclidean Distance Test for Benford Distribution","t2",0,24.162712655564,0
"47",0.04,"Joint Digits Test","t3",0,3750.49592356639,0
"48",0.04,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.141278837281203,0
"49",0.04,"K-S Test for Benford Distribution","t5",0,20.7491254719662,0
"50",0.04,"Chebyshev Distance Test for Benford Distribution","t6",0,18.8703995663981,0
"51",0.04,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,102.107284125137,0
"52",0.04,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0697621518369107,0
"53",0.04,"Mantissa Arc Test","t9",0,0.181729812693515,0
"54",0.04,"Mean Absolute Deviation","t10",NA,0.0602691588234235,0
"55",0.04,"Distortion Factor","t11",NA,2.83464195268146,1
"56",0.05,"Chi-Square Test for Benford Distribution","t1",0,3697.54631505218,0
"57",0.05,"Euclidean Distance Test for Benford Distribution","t2",0,23.9890439252185,0
"58",0.05,"Joint Digits Test","t3",0,3697.54631505218,0
"59",0.05,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.146811777533687,0
"60",0.05,"K-S Test for Benford Distribution","t5",0,20.5421254719662,0
"61",0.05,"Chebyshev Distance Test for Benford Distribution","t6",0,18.7583995663981,0
"62",0.05,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,100.641684645794,0
"63",0.05,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0691542122574695,0
"64",0.05,"Mantissa Arc Test","t9",0,0.178674589408487,0
"65",0.05,"Mean Absolute Deviation","t10",NA,0.0597678254900901,0
"66",0.05,"Distortion Factor","t11",NA,2.82950995791089,1
"67",0.06,"Chi-Square Test for Benford Distribution","t1",0,3620.98638415905,0
"68",0.06,"Euclidean Distance Test for Benford Distribution","t2",0,23.7490637721983,0
"69",0.06,"Joint Digits Test","t3",0,3620.98638415906,0
"70",0.06,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.154894540749551,0
"71",0.06,"K-S Test for Benford Distribution","t5",0,20.2695254719662,0
"72",0.06,"Chebyshev Distance Test for Benford Distribution","t6",0,18.5911995663981,0
"73",0.06,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,98.5561341300555,0
"74",0.06,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0682448209812402,0
"75",0.06,"Mantissa Arc Test","t9",0,0.174848870126156,0
"76",0.06,"Mean Absolute Deviation","t10",NA,0.0590122699345346,0
"77",0.06,"Distortion Factor","t11",NA,2.82635284632251,1
"78",0.07,"Chi-Square Test for Benford Distribution","t1",0,3528.27439954934,0
"79",0.07,"Euclidean Distance Test for Benford Distribution","t2",0,23.422715435614,0
"80",0.07,"Joint Digits Test","t3",0,3528.27439954935,0
"81",0.07,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.167363662850002,0
"82",0.07,"K-S Test for Benford Distribution","t5",0,19.9581254719662,0
"83",0.07,"Chebyshev Distance Test for Benford Distribution","t6",0,18.3079995663981,0
"84",0.07,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,95.8643649164356,0
"85",0.07,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0663530137337364,0
"86",0.07,"Mantissa Arc Test","t9",0,0.170588978521605,0
"87",0.07,"Mean Absolute Deviation","t10",NA,0.0583091588234235,0
"88",0.07,"Distortion Factor","t11",NA,2.70462025648211,1
"89",0.08,"Chi-Square Test for Benford Distribution","t1",0,3480.34249611335,0
"90",0.08,"Euclidean Distance Test for Benford Distribution","t2",0,23.2266920110132,0
"91",0.08,"Joint Digits Test","t3",0,3480.34249611335,0
"92",0.08,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.173518876284636,0
"93",0.08,"K-S Test for Benford Distribution","t5",0,19.8959254719662,0
"94",0.08,"Chebyshev Distance Test for Benford Distribution","t6",0,18.1245995663981,0
"95",0.08,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,94.6646641566296,0
"96",0.08,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0665717280913105,0
"97",0.08,"Mantissa Arc Test","t9",0,0.167808617733224,0
"98",0.08,"Mean Absolute Deviation","t10",NA,0.058020714378979,0
"99",0.08,"Distortion Factor","t11",NA,2.83149861939067,1
"100",0.09,"Chi-Square Test for Benford Distribution","t1",0,3370.49264324341,0
"101",0.09,"Euclidean Distance Test for Benford Distribution","t2",0,22.8662056507706,0
"102",0.09,"Joint Digits Test","t3",0,3370.49264324342,0
"103",0.09,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.186482753168984,0
"104",0.09,"K-S Test for Benford Distribution","t5",0,19.5757254719662,0
"105",0.09,"Chebyshev Distance Test for Benford Distribution","t6",0,17.8611995663981,0
