model,param,measure,tr.stats.chisq.statistic,tr.stats.chisq.p.value,tr.MAD,tr.stats.mantissa.arc.test.statistic,tr.stats.mantissa.arc.test.p.value,tr.distortion.factor,chi,ks,f,chd,ed,js,jj,jd
forest.fire,0.01,betweenness,10697.9611725002,0,0.0677340705,0.0408864703,2.26742953862418E-73,48.9034045532,0,0,0,0,0,0,3,0
forest.fire,0.01,closeness,29924.6236514216,0,0.1510437107,0.8325654473,0,-83.2457233662,0,0,0,0,0,0,4,0
forest.fire,0.01,clustering,315.2539768613,4.84204369603887E-49,0.0910806645,0.0263040131,0.0059851862,-84.9706930097,0,0,0,0,0,0,0,0
forest.fire,0.01,degree,3606.922274978,0,0.0602795374,0.0843782356,0,-48.6887441289,0,0,0,0,0,0,0,0
forest.fire,0.0366666667,betweenness,10602.8853992754,0,0.0677467008,0.0422108241,2.0012414166168E-74,48.9495782293,0,0,0,0,0,0,0,0
forest.fire,0.0366666667,closeness,29481.6593467678,0,0.15034888,0.8280239261,0,-82.8211305391,0,0,0,0,0,0,0,0
forest.fire,0.0366666667,clustering,951.5546988523,8.58365411011164E-171,0.0872436623,0.0311436867,3.15765331719635E-11,-85.0333947785,0,0,0,0,0,30,0,0
forest.fire,0.0366666667,degree,3232.9730446492,0,0.0573481741,0.0697530418,1.01510713162445E-277,-46.8340146154,0,0,0,0,0,0,0,0
forest.fire,0.0633333333,betweenness,10184.8218749275,0,0.066630264,0.0408433038,1.76568836796662E-71,47.7183649481,0,0,0,0,0,0,0,0
forest.fire,0.0633333333,closeness,28810.1379467755,0,0.1491320249,0.8234531287,0,-82.4329288998,0,0,0,0,0,0,3,0
forest.fire,0.0633333333,clustering,1423.3933318227,3.73398218328276E-272,0.0846243076,0.0293103817,4.8119523601941E-21,-85.2828538731,0,0,0,0,0,0,0,0
forest.fire,0.0633333333,degree,2895.2508848858,0,0.0545122241,0.0562439518,2.49418460176491E-224,-44.9281799916,0,0,0,0,0,0,0,0
forest.fire,0.09,betweenness,9592.7164673903,0,0.0648086875,0.0379430922,4.01343623045518E-61,46.0042618754,0,0,0,0,0,0,0,0
forest.fire,0.09,closeness,28456.479671287,0,0.1483635531,0.819178454,0,-82.1852631391,0,0,0,9,1,0,6,10
forest.fire,0.09,clustering,1748.1482393783,0,0.0815478911,0.0250291802,3.27960286217172E-22,-85.4299306098,0,0,0,0,0,3,0,0
forest.fire,0.09,degree,2567.4915464876,0,0.0512257797,0.0444645489,5.10719566427747E-176,-42.8687024073,0,0,0,0,0,0,0,0
forest.fire,0.1166666667,betweenness,8833.1513125924,0,0.0623866999,0.0349622259,3.59726132916893E-56,43.8809901514,0,0,0,0,0,0,0,0
forest.fire,0.1166666667,closeness,28113.9009590523,0,0.1475818599,0.8130141703,0,-81.8935852565,0,0,0,10,1,0,48,3
