"","model","parameter.set.j.","measure","tr.stats.chisq.statistic","tr.stats.chisq.p.value","tr.MAD","tr.stats.mantissa.arc.test.statistic","tr.stats.mantissa.arc.test.p.value","tr.distortion.factor"
"X-squared","random.graph",1e-04,"degree",4286.96008757357,0,0.0880717174850727,0.210595139909767,0,-59.3685035704657
"X-squared1","random.graph",1e-04,"degree",4355.69469002168,0,0.0874933167652337,0.210464646065714,0,-59.5149475938173
"X-squared2","random.graph",1e-04,"degree",4316.11348358937,0,0.0876626920228531,0.208942587488956,0,-59.4860865061576
"X-squared3","random.graph",1e-04,"degree",4380.04681144688,0,0.088746387840075,0.221254227604811,0,-59.886865377478
"X-squared4","random.graph",1e-04,"degree",4569.03966919059,0,0.0897169931078231,0.227611743119676,0,-60.3540848401981
"X-squared5","random.graph",1e-04,"degree",4286.72260192823,0,0.0869905283310229,0.203808440553812,0,-59.2036857402806
"X-squared6","random.graph",1e-04,"degree",4404.32634692942,0,0.0890514951384642,0.215171916424961,0,-59.5145998324539
"X-squared7","random.graph",1e-04,"degree",4269.06202539031,0,0.087290897064128,0.205700103443961,0,-59.1621118884606
"X-squared8","random.graph",1e-04,"degree",4396.40459804522,0,0.0890975908077486,0.21763917476556,0,-59.7190398104931
"X-squared9","random.graph",1e-04,"degree",4240.27015751383,0,0.0871044971174344,0.207123961015519,0,-59.3942173846943
"X-squared10","random.graph",1e-04,"degree",4168.10983897925,0,0.0864092527010973,0.200729983889421,0,-59.0399594340799
"X-squared11","random.graph",1e-04,"degree",4397.09420480777,0,0.0895170735420002,0.227330126635532,0,-60.2318120146999
"X-squared12","random.graph",1e-04,"degree",4308.14529505281,0,0.0875952028542343,0.205806960904548,0,-59.2349914973908
"X-squared13","random.graph",1e-04,"degree",4350.28627673645,0,0.0868159283787538,0.205194610870365,0,-59.2399414889427
"X-squared14","random.graph",1e-04,"degree",4546.67292949888,0,0.0906030601468996,0.230759038860105,0,-60.2795922221474
"X-squared15","random.graph",1e-04,"degree",4409.11900976757,0,0.0879213888059532,0.219331166204315,0,-59.9063240532374
"X-squared16","random.graph",1e-04,"degree",4523.83593402066,0,0.0902922894157813,0.229314054472043,0,-60.2679046221226
"X-squared17","random.graph",1e-04,"degree",4436.28721266514,0,0.0880457453114586,0.210981103557293,0,-59.5607881949594
"X-squared18","random.graph",1e-04,"degree",4524.34106569693,0,0.0896384524246032,0.221456199239901,0,-59.9683871538718
"X-squared19","random.graph",1e-04,"degree",4436.1652519115,0,0.0893790034852534,0.221873338337538,0,-59.9653445977602
"X-squared20","random.graph",1e-04,"degree",4391.7125396933,0,0.0885364144419107,0.21926160212932,0,-59.8033878606362
"X-squared21","random.graph",1e-04,"degree",4280.42297534121,0,0.0867398836372072,0.209134357454366,0,-59.5121844974377
"X-squared22","random.graph",1e-04,"degree",4277.62371635665,0,0.0868728345884256,0.203887682757644,0,-59.1229210818729
"X-squared23","random.graph",1e-04,"degree",4456.26518071337,0,0.0883696137363992,0.218383685652494,0,-59.8930177401072
"X-squared24","random.graph",1e-04,"degree",4435.07447388924,0,0.0894443551913125,0.216469214184606,0,-59.6503819667328
"X-squared25","random.graph",1e-04,"degree",4370.16668956557,0,0.0881436957362065,0.21699395309171,0,-59.7760103920852
"X-squared26","random.graph",1e-04,"degree",4242.47019929677,0,0.0870917718099359,0.209555820587027,0,-59.490515337352
"X-squared27","random.graph",1e-04,"degree",4267.90435598281,0,0.0868438486084021,0.201891549159682,0,-59.1699150169126
"X-squared28","random.graph",1e-04,"degree",4192.39534460216,0,0.0868037970748708,0.201526626615362,0,-58.9489635070073
"X-squared29","random.graph",1e-04,"degree",4315.80482315601,0,0.087321123131097,0.20651296846741,0,-59.3526076200821
"X-squared30","random.graph",1e-04,"degree",4484.48038707998,0,0.0901743537827582,0.228271363102249,0,-60.1737840520301
"X-squared31","random.graph",1e-04,"degree",4405.90112060731,0,0.0878887341457716,0.220382844582495,0,-59.987251338905
"X-squared32","random.graph",1e-04,"degree",4413.5727378313,0,0.0891399782519325,0.220423744022992,0,-59.9712965435246
"X-squared33","random.graph",1e-04,"degree",4361.94660957985,0,0.0876863895912351,0.211991220516273,0,-59.5683817071293
"X-squared34","random.graph",1e-04,"degree",4276.67253115245,0,0.0865468674259832,0.206870677382129,0,-59.3827577245916
"X-squared35","random.graph",1e-04,"degree",4347.56443393448,0,0.0879878315226349,0.215217940708445,0,-59.7764490566084
"X-squared36","random.graph",1e-04,"degree",4285.61882687043,0,0.0878069010962429,0.207942813948915,0,-59.3239430064192
"X-squared37","random.graph",1e-04,"degree",4210.06624608549,0,0.0856051209391914,0.202647791490916,0,-59.3425198148906
"X-squared38","random.graph",1e-04,"degree",4295.88053578609,0,0.0873197366299018,0.208866046658094,0,-59.3739768122359
"X-squared39","random.graph",1e-04,"degree",4421.29505523187,0,0.0889772526595544,0.215189751644317,0,-59.6452255966229
"X-squared40","random.graph",1e-04,"degree",4393.89370991745,0,0.088041532805626,0.2130446600533,0,-59.6498855836807
"X-squared41","random.graph",1e-04,"degree",4335.78236858033,0,0.0876871994403988,0.210272812680774,0,-59.5804480884064
"X-squared42","random.graph",1e-04,"degree",4272.53175417984,0,0.086827168162382,0.207395002181682,0,-59.4538346085614
"X-squared43","random.graph",1e-04,"degree",4376.57896947667,0,0.0877007658555984,0.210431024458472,0,-59.5820553454493
"X-squared44","random.graph",1e-04,"degree",4368.12773618318,0,0.0881018423855296,0.213858768001712,0,-59.5836010901857
"X-squared45","random.graph",1e-04,"degree",4348.02236141437,0,0.0887085966541606,0.213708675745549,0,-59.4776456118493
"X-squared46","random.graph",1e-04,"degree",4553.62672510494,0,0.0898721955430398,0.225199304146134,0,-60.01631127015
"X-squared47","random.graph",1e-04,"degree",4348.05918868568,0,0.0884662552230156,0.21738569911522,0,-59.7425778850185
"X-squared48","random.graph",1e-04,"degree",4260.85344781739,0,0.0867193132596011,0.202201827690768,0,-59.0714456767063
"X-squared49","random.graph",1e-04,"degree",4383.64901314219,0,0.0889779084472588,0.216542673761119,0,-59.6778811025619
"X-squared50","random.graph",1e-04,"degree",4372.83215053036,0,0.0878242383911482,0.215623798377317,0,-59.7386428819948
"X-squared51","random.graph",1e-04,"degree",4336.31170169065,0,0.0871338355329738,0.211080604591652,0,-59.4512394433468
"X-squared52","random.graph",1e-04,"degree",4263.42222316079,0,0.0875811404915093,0.209009848646828,0,-59.4301462508683
"X-squared53","random.graph",1e-04,"degree",4455.0291172275,0,0.0889679865258952,0.220429600692157,0,-59.8846418448384
"X-squared54","random.graph",1e-04,"degree",4439.23439297334,0,0.0897216616255181,0.224259849216022,0,-60.0292236632734
"X-squared55","random.graph",1e-04,"degree",4444.18928551005,0,0.0888004006498773,0.217839097070698,0,-59.6793409224073
"X-squared56","random.graph",1e-04,"degree",4257.85164334906,0,0.0868082070396272,0.200458340380841,0,-58.9924291407177
"X-squared57","random.graph",1e-04,"degree",4388.46726030496,0,0.0880769351871706,0.214858197811487,0,-59.6282634942004
"X-squared58","random.graph",1e-04,"degree",4402.03881281542,0,0.0882337719170654,0.2125898249369,0,-59.6405626741402
"X-squared59","random.graph",1e-04,"degree",4399.31914778496,0,0.0885490640495968,0.214890598142078,0,-59.7001387041008
"X-squared60","random.graph",1e-04,"degree",4327.92844028962,0,0.0886888271248362,0.214916264118815,0,-59.6087932967155
"X-squared61","random.graph",1e-04,"degree",4371.75912585449,0,0.0871626237391253,0.211891887840985,0,-59.7160485058672
"X-squared62","random.graph",1e-04,"degree",4382.24796597473,0,0.0891277136918916,0.216195858204085,0,-59.6337952561949
"X-squared63","random.graph",1e-04,"degree",4283.87817959259,0,0.0872158710523685,0.207614221650051,0,-59.2960327924512
"X-squared64","random.graph",1e-04,"degree",4213.21077997985,0,0.0870519620772425,0.206313701356298,0,-59.2563094078165
"X-squared65","random.graph",1e-04,"degree",4376.20538406839,0,0.0886267561327145,0.22067823948842,0,-59.9801642161946
"X-squared66","random.graph",1e-04,"degree",4302.15778303882,0,0.0876303812968847,0.208140870875333,0,-59.3403417870127
"X-squared67","random.graph",1e-04,"degree",4358.9565123271,0,0.0880084200385443,0.215333001393048,0,-59.6436009915021
"X-squared68","random.graph",1e-04,"degree",4453.9006987625,0,0.0897686605992524,0.221833279711115,0,-59.8086652651997
"X-squared69","random.graph",1e-04,"degree",4460.32634160372,0,0.0887759782992783,0.221751235729307,0,-59.9802094131423
"X-squared70","random.graph",1e-04,"degree",4420.13889693264,0,0.0889800868555462,0.219597581112953,0,-59.7970652973526
"X-squared71","random.graph",1e-04,"degree",4376.1848855128,0,0.0882861826364472,0.212364755874195,0,-59.5505596586819
"X-squared72","random.graph",1e-04,"degree",4353.45428832362,0,0.0874313572958644,0.210992594395371,0,-59.5491201480136
"X-squared73","random.graph",1e-04,"degree",4272.37616974153,0,0.0865472178475043,0.199274335480475,0,-58.8997262317196
"X-squared74","random.graph",1e-04,"degree",4294.25925658036,0,0.087176205549779,0.205188704886838,0,-59.321931814624
"X-squared75","random.graph",1e-04,"degree",4276.42591434793,0,0.087063447313178,0.206822844126001,0,-59.2474176846701
"X-squared76","random.graph",1e-04,"degree",4438.3106248976,0,0.088661163668535,0.218076300903538,0,-59.7434914698857
"X-squared77","random.graph",1e-04,"degree",4305.74943534095,0,0.0874617904822755,0.212993600714309,0,-59.7247898760517
"X-squared78","random.graph",1e-04,"degree",4284.80116241406,0,0.0869786690235236,0.205612907657923,0,-59.322659102448
"X-squared79","random.graph",1e-04,"degree",4434.66750196259,0,0.0902332430955222,0.223075339062141,0,-59.9236117920429
"X-squared80","random.graph",1e-04,"degree",4191.02378863298,0,0.0862375385381973,0.2042494758731,0,-59.1975245993324
"X-squared81","random.graph",1e-04,"degree",4443.58451020312,0,0.0881458020097174,0.215534381559037,0,-59.6312280117984
"X-squared82","random.graph",1e-04,"degree",4421.07962639266,0,0.0895897069648264,0.222051583536765,0,-59.9581127868171
"X-squared83","random.graph",1e-04,"degree",4314.05036720733,0,0.0880153067828842,0.211792904740688,0,-59.4588942260187
"X-squared84","random.graph",1e-04,"degree",4282.99136946811,0,0.0867057399108219,0.206055578935781,0,-59.3263385067143
"X-squared85","random.graph",1e-04,"degree",4378.46065853737,0,0.0891001956919742,0.216195299186161,0,-59.7361457919706
"X-squared86","random.graph",1e-04,"degree",4397.3363375636,0,0.0888589766653911,0.217746753512226,0,-59.7888107933983
"X-squared87","random.graph",1e-04,"degree",4405.66888365361,0,0.0887426421899643,0.216617429385516,0,-59.7207262447563
"X-squared88","random.graph",1e-04,"degree",4292.75942766971,0,0.0873137753130316,0.208052681437199,0,-59.3241340501478
"X-squared89","random.graph",1e-04,"degree",4253.97743686157,0,0.0856670094940071,0.198024173839513,0,-59.0157308675061
"X-squared90","random.graph",1e-04,"degree",4299.13223325508,0,0.0870985036662656,0.207226353740316,0,-59.360478091111
"X-squared91","random.graph",1e-04,"degree",4357.60746221969,0,0.0892766054803957,0.221559106411204,0,-59.8378159217837
"X-squared92","random.graph",1e-04,"degree",4341.01302046544,0,0.087583423246807,0.210576548452849,0,-59.4529054240743
"X-squared93","random.graph",1e-04,"degree",4276.38116505295,0,0.0878053409611936,0.207480786370881,0,-59.2689444025639
"X-squared94","random.graph",1e-04,"degree",4402.56689869554,0,0.0876803428128436,0.212635591415525,0,-59.5782332104785
"X-squared95","random.graph",1e-04,"degree",4343.95561383034,0,0.0889917165796673,0.22106093959811,0,-59.9240702881267
"X-squared96","random.graph",1e-04,"degree",4402.42851096038,0,0.0883909342928076,0.222138308224723,0,-59.9670521401665
"X-squared97","random.graph",1e-04,"degree",4324.38499782921,0,0.0881876382821148,0.210026233978215,0,-59.452435413368
"X-squared98","random.graph",1e-04,"degree",4405.03893278186,0,0.0882249623692355,0.215416588817932,0,-59.6762182823362
"X-squared99","random.graph",1e-04,"degree",4275.39977019899,0,0.0873060363894626,0.204427911000409,0,-59.1927560268353
"X-squared100","random.graph",1e-04,"betweenness",92.3081994032606,1.57953822590793e-16,0.0159555984478365,4.68925172947351e-05,0.883145625371146,-6.20849349992672
"X-squared101","random.graph",1e-04,"betweenness",64.0878000940096,7.30885384570348e-11,0.0149248511682403,0.00516070722175113,1.10905851393987e-06,-11.8543104537893
"X-squared102","random.graph",1e-04,"betweenness",21.4938034812795,0.00594515912349214,0.00829300274798244,0.00283573141494246,0.000522323087058346,-9.19699154472537
"X-squared103","random.graph",1e-04,"betweenness",36.0564570646407,1.71471617031645e-05,0.0127470008668949,0.00437674475837988,1.40983523307227e-05,-10.9888184497745
"X-squared104","random.graph",1e-04,"betweenness",38.9166516926554,5.09351964433711e-06,0.00999490398161715,0.00153950080654556,0.0191001980737747,-9.17755894616019
"X-squared105","random.graph",1e-04,"betweenness",49.6558728679491,4.75861971449956e-08,0.0119329733136251,0.000117908360198498,0.725889837494384,-12.3249417214875
"X-squared106","random.graph",1e-04,"betweenness",83.4308095598747,9.94390174749648e-15,0.0135728385388231,0.00106461141295843,0.0575392583892247,-8.84058427864854
"X-squared107","random.graph",1e-04,"betweenness",38.6309758591354,5.7539878932729e-06,0.00873158713538657,0.0010309885199755,0.0619388898929727,-8.70007899773993
"X-squared108","random.graph",1e-04,"betweenness",91.20344767315,2.64902316261743e-16,0.0164591473071333,0.00371619723687946,5.60950198591397e-05,-9.20708462247777
"X-squared109","random.graph",1e-04,"betweenness",70.6721145560536,3.61086467089152e-12,0.0118432999353559,0.00706647899257978,8.54624978812388e-09,-6.42746842133736
"X-squared110","random.graph",1e-04,"betweenness",30.349034886778,0.000183353104136906,0.00919069466501434,0.00062227680680052,0.189621816894704,-8.33283073588161
"X-squared111","random.graph",1e-04,"betweenness",37.3868881281258,9.76817607865082e-06,0.0100945121765779,0.000621538389199817,0.213811972792557,-12.109923831896
"X-squared112","random.graph",1e-04,"betweenness",24.5982240018946,0.00181780742976858,0.00858500752365778,0.00270443728286664,0.000628423639902723,-8.86260207922892
"X-squared113","random.graph",1e-04,"betweenness",72.6836488247299,1.43328166237973e-12,0.0140370081633683,0.000664063071484096,0.163506915003935,-10.9430340161284
"X-squared114","random.graph",1e-04,"betweenness",11.011742842863,0.201034720445676,0.00542245449228628,0.00254598507794782,0.00146579172659706,-8.44033552700694
"X-squared115","random.graph",1e-04,"betweenness",67.5341618211665,1.51912560289831e-11,0.0148686026664824,0.000360818180697389,0.397622876310548,-12.8381898067843
"X-squared116","random.graph",1e-04,"betweenness",32.8523307781795,6.54776591920778e-05,0.0112571114159926,0.00151247623579838,0.0209759909697489,-10.6583376425475
"X-squared117","random.graph",1e-04,"betweenness",34.2312344718163,3.68881466222638e-05,0.0078509659642081,0.000533033432849097,0.2343552847454,-8.82142921656933
"X-squared118","random.graph",1e-04,"betweenness",17.2507527452136,0.0276013829982474,0.00792131257392573,0.00568433330022512,2.75887247375941e-07,-7.67777096912509
"X-squared119","random.graph",1e-04,"betweenness",66.9392492322348,1.99343216446517e-11,0.00961062320139583,0.00437010990332614,1.24677656769199e-05,-5.35849081816327
"X-squared120","random.graph",1e-04,"betweenness",38.7761938284906,5.40829266188502e-06,0.0110562304417044,0.00192357749373193,0.00702006516066897,-10.3449608355828
"X-squared121","random.graph",1e-04,"betweenness",34.5875230261136,3.17825671818472e-05,0.00929808514800335,0.000391010632699682,0.361671602012287,-8.53890698597846
"X-squared122","random.graph",1e-04,"betweenness",26.1079679367956,0.00100653486845017,0.00941036642468226,0.00374859576280514,3.83046099615202e-05,-6.26384335836344
"X-squared123","random.graph",1e-04,"betweenness",44.6616295175893,4.26524370694221e-07,0.0122841864680552,0.00105579817717476,0.0632340578269058,-11.5918823855272
"X-squared124","random.graph",1e-04,"betweenness",48.4155665686716,8.22707680466502e-08,0.0101989126663292,0.00052406159220366,0.24421026498635,-8.72153394859368
"X-squared125","random.graph",1e-04,"betweenness",16.284587999584,0.0384832569255084,0.00729830560585626,0.0059087658259539,2.29818219217711e-07,-7.38306820270319
"X-squared126","random.graph",1e-04,"betweenness",49.9211392305457,4.23186773761534e-08,0.0112900210379433,0.00229574129968071,0.00261636333325334,-11.1619928229217
"X-squared127","random.graph",1e-04,"betweenness",65.892517308357,3.21364185408323e-11,0.0148189829330704,0.00560788123237672,2.29563940258426e-07,-9.21291535548241
"X-squared128","random.graph",1e-04,"betweenness",28.9539652110293,0.000323050709867846,0.00818025796433889,0.000436674458020856,0.307445417635886,-8.42307242118532
"X-squared129","random.graph",1e-04,"betweenness",43.3450555571765,7.56293997720921e-07,0.0117974648848575,0.00198978888499777,0.00464283554994345,-9.82074220066466
"X-squared130","random.graph",1e-04,"betweenness",31.8916097248416,9.73981031331862e-05,0.00827941256368865,0.00323169407616622,0.000268830435137509,-9.28818943473176
"X-squared131","random.graph",1e-04,"betweenness",37.6798390295895,8.62587546258517e-06,0.0117512711409974,0.00186415976211992,0.00894800928078855,-12.3515345829442
"X-squared132","random.graph",1e-04,"betweenness",15.1480868039896,0.0563291645655062,0.00682962835940139,0.000765710189627825,0.138157513827061,-8.27851265256489
"X-squared133","random.graph",1e-04,"betweenness",35.3347474330135,2.32332905557926e-05,0.00879166454768955,0.00098415586927554,0.0737533472972432,-7.7469815396642
"X-squared134","random.graph",1e-04,"betweenness",63.6601321574809,8.87715051873408e-11,0.0165028653186913,0.00782970989243695,1.07930881547886e-09,-15.1482537242462
"X-squared135","random.graph",1e-04,"betweenness",23.5754828583803,0.00269887111690525,0.00820970270225684,0.00132758963436367,0.0322423528722272,-9.79272284975328
"X-squared136","random.graph",1e-04,"betweenness",154.142318386698,2.67890314554403e-29,0.0174794313347718,0.00464202171833841,3.95465099296888e-06,-3.16638007984064
"X-squared137","random.graph",1e-04,"betweenness",24.6321365361496,0.00179400712787096,0.00859527492889406,0.00328064942548737,0.000186802332337543,-9.24111818747911
"X-squared138","random.graph",1e-04,"betweenness",29.513782901853,0.000257548702135349,0.00937773942292343,0.000319190412867532,0.429464492248072,-9.94562014730731
"X-squared139","random.graph",1e-04,"betweenness",79.2556045271617,6.90215057398863e-14,0.0173087470817832,0.00432170780565033,9.37133298083615e-06,-13.710598076025
"X-squared140","random.graph",1e-04,"betweenness",57.7358825881101,1.29350325108016e-09,0.0129405437410976,0.00191991440892036,0.00605438589822067,-10.8282117941872
