"","dataset","param","measure","chi","ks","f","chd","ed","js","jj","jd"
"1","forest.fire",0.001,"degree",0,0,0,0,0,0,50,0
"2","forest.fire",0.001,"betweenness",0,0,0,0,0,0,0,0
"3","forest.fire",0.001,"closeness",0,0,0,0,0,0,0,0
"4","forest.fire",0.001,"clustering",49,40,47,40,38,44,50,49
"5","forest.fire",0.002,"degree",0,0,0,0,0,0,50,0
"6","forest.fire",0.002,"betweenness",0,0,0,0,0,0,0,0
"7","forest.fire",0.002,"closeness",0,0,0,0,0,0,0,0
"8","forest.fire",0.002,"clustering",41,31,42,30,30,33,50,41
"9","forest.fire",0.003,"degree",0,0,0,0,0,0,50,0
"10","forest.fire",0.003,"betweenness",0,0,0,0,0,0,0,0
"11","forest.fire",0.003,"closeness",0,0,0,0,0,0,0,0
"12","forest.fire",0.003,"clustering",31,23,38,17,17,30,50,31
"13","forest.fire",0.004,"degree",0,0,0,0,0,0,50,0
"14","forest.fire",0.004,"betweenness",0,0,0,0,0,0,0,0
"15","forest.fire",0.004,"closeness",0,0,0,0,0,0,0,0
"16","forest.fire",0.004,"clustering",14,19,27,13,12,19,50,14
"17","forest.fire",0.005,"degree",0,0,0,0,0,0,50,0
"18","forest.fire",0.005,"betweenness",0,0,0,0,0,0,0,0
"19","forest.fire",0.005,"closeness",0,0,0,0,0,0,0,0
"20","forest.fire",0.005,"clustering",14,12,21,7,4,15,50,14
"21","forest.fire",0.006,"degree",0,0,0,0,0,0,50,0
"22","forest.fire",0.006,"betweenness",0,0,0,0,0,0,0,0
"23","forest.fire",0.006,"closeness",0,0,0,0,0,0,0,0
"24","forest.fire",0.006,"clustering",7,9,14,4,2,10,49,7
"25","forest.fire",0.007,"degree",0,0,0,0,0,0,50,0
"26","forest.fire",0.007,"betweenness",0,0,0,0,0,0,0,0
"27","forest.fire",0.007,"closeness",0,0,0,0,0,0,0,0
"28","forest.fire",0.007,"clustering",8,7,19,5,6,9,50,8
"29","forest.fire",0.008,"degree",0,0,0,0,0,0,50,0
"30","forest.fire",0.008,"betweenness",0,0,0,0,0,0,0,0
"31","forest.fire",0.008,"closeness",0,0,0,0,0,0,0,0
"32","forest.fire",0.008,"clustering",2,5,9,1,1,4,48,2
"33","forest.fire",0.009,"degree",0,0,0,0,0,0,50,0
"34","forest.fire",0.009,"betweenness",0,0,0,0,0,0,0,0
"35","forest.fire",0.009,"closeness",0,0,0,0,0,0,0,0
"36","forest.fire",0.009,"clustering",2,3,8,3,1,2,50,2
"37","forest.fire",0.01,"degree",0,0,0,0,0,0,50,0
"38","forest.fire",0.01,"betweenness",0,0,0,0,0,0,0,0
"39","forest.fire",0.01,"closeness",0,0,0,0,0,0,0,0
"40","forest.fire",0.01,"clustering",1,2,5,3,0,2,49,1
